'MULTI CCS LVL 1 LABEL','MULTI CCS LVL 2 LABEL','CCS CATEGORY DESCRIPTION'
Diseases of the blood and blood-forming organs,Anemia,Sickle cell anemia
Diseases of the blood and blood-forming organs,Coagulation and hemorrhagic disorders [62.],Coagulation and hemorrhagic disorders
Diseases of the blood and blood-forming organs,Diseases of white blood cells [63.],Diseases of white blood cells
Diseases of the blood and blood-forming organs,Other hematologic conditions [64.],Other hematologic conditions
Diseases of the nervous system and sense organs,Central nervous system infection,Meningitis (except that caused by tuberculosis or sexually transmitted disease)
Diseases of the nervous system and sense organs,Central nervous system infection,Encephalitis (except that caused by tuberculosis or sexually transmitted disease)
Diseases of the nervous system and sense organs,Central nervous system infection,Other CNS infection and poliomyelitis
Diseases of the nervous system and sense organs,Hereditary and degenerative nervous system conditions,Parkinson`s disease
Diseases of the nervous system and sense organs,Hereditary and degenerative nervous system conditions,Multiple sclerosis
Diseases of the nervous system and sense organs,Hereditary and degenerative nervous system conditions,Other hereditary and degenerative nervous system conditions
Diseases of the nervous system and sense organs,Paralysis [82.],Paralysis
Diseases of the nervous system and sense organs,Epilepsy; convulsions [83.],Epilepsy; convulsions
Diseases of the nervous system and sense organs,Headache; including migraine [84.],Headache; including migraine
Diseases of the nervous system and sense organs,Coma; stupor; and brain damage [85.],Coma; stupor; and brain damage
Diseases of the nervous system and sense organs,Eye disorders,Cataract
Diseases of the nervous system and sense organs,Eye disorders,Retinal detachments; defects; vascular occlusion; and retinopathy
Diseases of the nervous system and sense organs,Eye disorders,Glaucoma
Diseases of the nervous system and sense organs,Eye disorders,Blindness and vision defects
Diseases of the nervous system and sense organs,Eye disorders,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)
Diseases of the nervous system and sense organs,Eye disorders,Other eye disorders
Diseases of the nervous system and sense organs,Ear conditions,Otitis media and related conditions
Diseases of the nervous system and sense organs,Ear conditions,Conditions associated with dizziness or vertigo
Diseases of the nervous system and sense organs,Ear conditions,Other ear and sense organ disorders
Diseases of the nervous system and sense organs,Other nervous system disorders [95.],Other nervous system disorders
Diseases of the circulatory system,Diseases of the heart,Heart valve disorders
Diseases of the circulatory system,Diseases of the heart,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)
Diseases of the circulatory system,Hypertension,Essential hypertension
Diseases of the circulatory system,Hypertension,Hypertension with complications and secondary hypertension
Diseases of the circulatory system,Diseases of the heart,Acute myocardial infarction
Diseases of the circulatory system,Diseases of the heart,Coronary atherosclerosis and other heart disease
Diseases of the circulatory system,Diseases of the heart,Nonspecific chest pain
Diseases of the circulatory system,Diseases of the heart,Pulmonary heart disease
Diseases of the circulatory system,Diseases of the heart,Other and ill-defined heart disease
Diseases of the circulatory system,Diseases of the heart,Conduction disorders
Diseases of the circulatory system,Diseases of the heart,Cardiac dysrhythmias
Diseases of the circulatory system,Diseases of the heart,Cardiac arrest and ventricular fibrillation
Diseases of the circulatory system,Diseases of the heart,Congestive heart failure; nonhypertensive
Diseases of the circulatory system,Cerebrovascular disease,Acute cerebrovascular disease
Diseases of the circulatory system,Cerebrovascular disease,Occlusion or stenosis of precerebral arteries
Diseases of the circulatory system,Cerebrovascular disease,Other and ill-defined cerebrovascular disease
Diseases of the circulatory system,Cerebrovascular disease,Transient cerebral ischemia
Diseases of the circulatory system,Cerebrovascular disease,Late effects of cerebrovascular disease
Diseases of the circulatory system,Diseases of arteries; arterioles; and capillaries,Peripheral and visceral atherosclerosis
Diseases of the circulatory system,Diseases of arteries; arterioles; and capillaries,Aortic; peripheral; and visceral artery aneurysms
Diseases of the circulatory system,Diseases of arteries; arterioles; and capillaries,Aortic and peripheral arterial embolism or thrombosis
Diseases of the circulatory system,Diseases of arteries; arterioles; and capillaries,Other circulatory disease
Diseases of the circulatory system,Diseases of veins and lymphatics,Phlebitis; thrombophlebitis and thromboembolism
Diseases of the circulatory system,Diseases of veins and lymphatics,Varicose veins of lower extremity
Diseases of the circulatory system,Diseases of veins and lymphatics,Hemorrhoids
Diseases of the circulatory system,Diseases of veins and lymphatics,Other diseases of veins and lymphatics
Diseases of the respiratory system,Respiratory infections,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
Diseases of the respiratory system,Respiratory infections,Influenza
Diseases of the respiratory system,Respiratory infections,Acute and chronic tonsillitis
Diseases of the respiratory system,Respiratory infections,Acute bronchitis
Diseases of the respiratory system,Respiratory infections,Other upper respiratory infections
Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis [127.],Chronic obstructive pulmonary disease and bronchiectasis
Diseases of the respiratory system,Asthma [128.],Asthma
Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus [129.],Aspiration pneumonitis; food/vomitus
Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse [130.],Pleurisy; pneumothorax; pulmonary collapse
Diseases of the respiratory system,Respiratory failure; insufficiency; arrest (adult) [131.],Respiratory failure; insufficiency; arrest (adult)
Diseases of the respiratory system,Lung disease due to external agents [132.],Lung disease due to external agents
Diseases of the respiratory system,Other lower respiratory disease [133.],Other lower respiratory disease
Diseases of the respiratory system,Other upper respiratory disease [134.],Other upper respiratory disease
Diseases of the digestive system,Intestinal infection [135.],Intestinal infection
Diseases of the digestive system,Disorders of teeth and jaw [136.],Disorders of teeth and jaw
Diseases of the digestive system,Diseases of mouth; excluding dental [137.],Diseases of mouth; excluding dental
Diseases of the digestive system,Upper gastrointestinal disorders,Esophageal disorders
Diseases of the digestive system,Upper gastrointestinal disorders,Gastroduodenal ulcer (except hemorrhage)
Diseases of the digestive system,Upper gastrointestinal disorders,Gastritis and duodenitis
Diseases of the digestive system,Upper gastrointestinal disorders,Other disorders of stomach and duodenum
Diseases of the digestive system,Lower gastrointestinal disorders,Appendicitis and other appendiceal conditions
Diseases of the digestive system,Abdominal hernia [143.],Abdominal hernia
Diseases of the digestive system,Lower gastrointestinal disorders,Regional enteritis and ulcerative colitis
Diseases of the digestive system,Lower gastrointestinal disorders,Intestinal obstruction without hernia
Diseases of the digestive system,Lower gastrointestinal disorders,Diverticulosis and diverticulitis
Diseases of the digestive system,Lower gastrointestinal disorders,Anal and rectal conditions
Diseases of the digestive system,Lower gastrointestinal disorders,Peritonitis and intestinal abscess
Diseases of the digestive system,Biliary tract disease [149.],Biliary tract disease
Diseases of the digestive system,Liver disease,Other liver diseases
Diseases of the digestive system,Pancreatic disorders (not diabetes) [152.],Pancreatic disorders (not diabetes)
Diseases of the digestive system,Gastrointestinal hemorrhage [153.],Gastrointestinal hemorrhage
Diseases of the digestive system,Noninfectious gastroenteritis [154.],Noninfectious gastroenteritis
Diseases of the digestive system,Other gastrointestinal disorders [155.],Other gastrointestinal disorders
Diseases of the genitourinary system,Diseases of the urinary system,Nephritis; nephrosis; renal sclerosis
Diseases of the genitourinary system,Diseases of the urinary system,Acute and unspecified renal failure
Diseases of the genitourinary system,Diseases of the urinary system,Chronic kidney disease
Diseases of the genitourinary system,Diseases of the urinary system,Urinary tract infections
Diseases of the genitourinary system,Diseases of the urinary system,Calculus of urinary tract
Diseases of the genitourinary system,Diseases of the urinary system,Other diseases of kidney and ureters
Diseases of the genitourinary system,Diseases of the urinary system,Other diseases of bladder and urethra
Diseases of the genitourinary system,Diseases of the urinary system,Genitourinary symptoms and ill-defined conditions
Diseases of the genitourinary system,Diseases of male genital organs,Hyperplasia of prostate
Diseases of the genitourinary system,Diseases of male genital organs,Inflammatory conditions of male genital organs
Diseases of the genitourinary system,Diseases of male genital organs,Other male genital disorders
Diseases of the genitourinary system,Diseases of female genital organs,Nonmalignant breast conditions
Diseases of the genitourinary system,Diseases of female genital organs,Inflammatory diseases of female pelvic organs
Diseases of the genitourinary system,Diseases of female genital organs,Endometriosis
Diseases of the genitourinary system,Diseases of female genital organs,Prolapse of female genital organs
Diseases of the genitourinary system,Diseases of female genital organs,Menstrual disorders
Diseases of the genitourinary system,Diseases of female genital organs,Ovarian cyst
Diseases of the genitourinary system,Diseases of female genital organs,Menopausal disorders
Diseases of the genitourinary system,Diseases of female genital organs,Female infertility
Diseases of the genitourinary system,Diseases of female genital organs,Other female genital disorders
Complications of pregnancy; childbirth; and the puerperium,Contraceptive and procreative management [176.],Contraceptive and procreative management
Complications of pregnancy; childbirth; and the puerperium,Abortion-related disorders,Spontaneous abortion
Complications of pregnancy; childbirth; and the puerperium,Abortion-related disorders,Induced abortion
Complications of pregnancy; childbirth; and the puerperium,Abortion-related disorders,Postabortion complications
Complications of pregnancy; childbirth; and the puerperium,Complications mainly related to pregnancy,Ectopic pregnancy
Complications of pregnancy; childbirth; and the puerperium,Complications mainly related to pregnancy,Other complications of pregnancy
Complications of pregnancy; childbirth; and the puerperium,Complications mainly related to pregnancy,Hemorrhage during pregnancy; abruptio placenta; placenta previa
Complications of pregnancy; childbirth; and the puerperium,Complications mainly related to pregnancy,Hypertension complicating pregnancy; childbirth and the puerperium
Complications of pregnancy; childbirth; and the puerperium,Complications mainly related to pregnancy,Early or threatened labor
Complications of pregnancy; childbirth; and the puerperium,Complications mainly related to pregnancy,Prolonged pregnancy
Complications of pregnancy; childbirth; and the puerperium,Complications mainly related to pregnancy,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium
Complications of pregnancy; childbirth; and the puerperium,Indications for care in pregnancy; labor; and delivery,Malposition; malpresentation
Complications of pregnancy; childbirth; and the puerperium,Indications for care in pregnancy; labor; and delivery,Fetopelvic disproportion; obstruction
Complications of pregnancy; childbirth; and the puerperium,Indications for care in pregnancy; labor; and delivery,Previous C-section
Complications of pregnancy; childbirth; and the puerperium,Indications for care in pregnancy; labor; and delivery,Fetal distress and abnormal forces of labor
Complications of pregnancy; childbirth; and the puerperium,Indications for care in pregnancy; labor; and delivery,Polyhydramnios and other problems of amniotic cavity
Complications of pregnancy; childbirth; and the puerperium,Complications during labor,Umbilical cord complication
Complications of pregnancy; childbirth; and the puerperium,Complications during labor,OB-related trauma to perineum and vulva
Complications of pregnancy; childbirth; and the puerperium,Complications during labor,Forceps delivery
Complications of pregnancy; childbirth; and the puerperium,Other complications of birth; puerperium affecting management of mother [195.],Other complications of birth; puerperium affecting management of mother
Complications of pregnancy; childbirth; and the puerperium,Normal pregnancy and/or delivery [196.],Normal pregnancy and/or delivery
Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections [197.],Skin and subcutaneous tissue infections
Diseases of the skin and subcutaneous tissue,Other inflammatory condition of skin [198.],Other inflammatory condition of skin
Diseases of the skin and subcutaneous tissue,Chronic ulcer of skin [199.],Chronic ulcer of skin
Diseases of the skin and subcutaneous tissue,Other skin disorders [200.],Other skin disorders
Diseases of the musculoskeletal system and connective tissue,Infective arthritis and osteomyelitis (except that caused by TB or STD) [201.],Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
Diseases of the musculoskeletal system and connective tissue,Non-traumatic joint disorders,Rheumatoid arthritis and related disease
Diseases of the musculoskeletal system and connective tissue,Non-traumatic joint disorders,Osteoarthritis
Diseases of the musculoskeletal system and connective tissue,Non-traumatic joint disorders,Other non-traumatic joint disorders
Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems [205.],Spondylosis; intervertebral disc disorders; other back problems
Diseases of the musculoskeletal system and connective tissue,Osteoporosis [206.],Osteoporosis
Diseases of the musculoskeletal system and connective tissue,Pathological fracture [207.],Pathological fracture
Diseases of the musculoskeletal system and connective tissue,Acquired deformities,Acquired foot deformities
Diseases of the musculoskeletal system and connective tissue,Acquired deformities,Other acquired deformities
Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus and connective tissue disorders [210.],Systemic lupus erythematosus and connective tissue disorders
Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease [211.],Other connective tissue disease
Diseases of the musculoskeletal system and connective tissue,Other bone disease and musculoskeletal deformities [212.],Other bone disease and musculoskeletal deformities
Congenital anomalies,Cardiac and circulatory congenital anomalies [213.],Cardiac and circulatory congenital anomalies
Congenital anomalies,Digestive congenital anomalies [214.],Digestive congenital anomalies
Congenital anomalies,Genitourinary congenital anomalies [215.],Genitourinary congenital anomalies
Congenital anomalies,Nervous system congenital anomalies [216.],Nervous system congenital anomalies
Congenital anomalies,Other congenital anomalies [217.],Other congenital anomalies
Certain conditions originating in the perinatal period,Liveborn [218.],Liveborn
Certain conditions originating in the perinatal period,Short gestation; low birth weight; and fetal growth retardation [219.],Short gestation; low birth weight; and fetal growth retardation
Certain conditions originating in the perinatal period,Intrauterine hypoxia and birth asphyxia [220.],Intrauterine hypoxia and birth asphyxia
Certain conditions originating in the perinatal period,Respiratory distress syndrome [221.],Respiratory distress syndrome
Certain conditions originating in the perinatal period,Hemolytic jaundice and perinatal jaundice [222.],Hemolytic jaundice and perinatal jaundice
Certain conditions originating in the perinatal period,Birth trauma [223.],Birth trauma
Certain conditions originating in the perinatal period,Other perinatal conditions [224.],Other perinatal conditions
Injury and poisoning,Joint disorders and dislocations; trauma-related [225.],Joint disorders and dislocations; trauma-related
Injury and poisoning,Fractures,Fracture of neck of femur (hip)
Injury and poisoning,Spinal cord injury [227.],Spinal cord injury
Injury and poisoning,Fractures,Skull and face fractures
Injury and poisoning,Fractures,Fracture of upper limb
Injury and poisoning,Fractures,Fracture of lower limb
Injury and poisoning,Fractures,Other fractures
Injury and poisoning,Sprains and strains [232.],Sprains and strains
Injury and poisoning,Intracranial injury [233.],Intracranial injury
Injury and poisoning,Crushing injury or internal injury [234.],Crushing injury or internal injury
Injury and poisoning,Open wounds,Open wounds of head; neck; and trunk
Injury and poisoning,Open wounds,Open wounds of extremities
Injury and poisoning,Complications,Complication of device; implant or graft
Injury and poisoning,Complications,Complications of surgical procedures or medical care
Injury and poisoning,Superficial injury; contusion [239.],Superficial injury; contusion
Injury and poisoning,Burns [240.],Burns
Injury and poisoning,Poisoning,Poisoning by psychotropic agents
Injury and poisoning,Poisoning,Poisoning by other medications and drugs
Injury and poisoning,Poisoning,Poisoning by nonmedicinal substances
Injury and poisoning,Other injuries and conditions due to external causes [244.],Other injuries and conditions due to external causes
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions,Syncope
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions,Fever of unknown origin
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions,Lymphadenitis
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions,Gangrene
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions,Shock
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions,Nausea and vomiting
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions,Abdominal pain
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions,Malaise and fatigue
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions,Allergic reactions
Symptoms; signs; and ill-defined conditions and factors influencing health status,Factors influencing health care,Rehabilitation care; fitting of prostheses; and adjustment of devices
Symptoms; signs; and ill-defined conditions and factors influencing health status,Factors influencing health care,Administrative/social admission
Symptoms; signs; and ill-defined conditions and factors influencing health status,Factors influencing health care,Medical examination/evaluation
Symptoms; signs; and ill-defined conditions and factors influencing health status,Factors influencing health care,Other aftercare
Symptoms; signs; and ill-defined conditions and factors influencing health status,Factors influencing health care,Other screening for suspected conditions (not mental disorders or infectious disease)
Mental Illness,Adjustment disorders [650],Adjustment disorders
Mental Illness,Anxiety disorders [651],Anxiety disorders
Mental Illness,Attention deficit conduct and disruptive behavior disorders [652],Attention-deficit conduct and disruptive behavior disorders
Mental Illness,Delirium dementia and amnestic and other cognitive disorders [653],Delirium dementia and amnestic and other cognitive disorders
Mental Illness,Developmental disorders [654],Developmental disorders
Mental Illness,Disorders usually diagnosed in infancy childhood or adolescence [655],Disorders usually diagnosed in infancy childhood or adolescence
Mental Illness,Impulse control disorders not elsewhere classified [656],Impulse control disorders NEC
Mental Illness,Mood disorders [657],Mood disorders
Mental Illness,Personality disorders [658],Personality disorders
Mental Illness,Schizophrenia and other psychotic disorders [659],Schizophrenia and other psychotic disorders
Mental Illness,Alcohol-related disorders [660],Alcohol-related disorders
Mental Illness,Substance-related disorders [661],Substance-related disorders
Mental Illness,Suicide and intentional self-inflicted injury [662],Suicide and intentional self-inflicted injury
Mental Illness,Screening and history of mental health and substance abuse codes [663],Screening and history of mental health and substance abuse codes
Mental Illness,Miscellaneous mental disorders [670],Miscellaneous disorders
Unclassified,External Cause,External cause codes:  Cut/pierce
Unclassified,External Cause,External cause codes:  Drowning/submersion
Unclassified,External Cause,External cause codes:  Fall
Unclassified,External Cause,External cause codes:  Fire/burn
Unclassified,External Cause,External cause codes:  Firearm
Unclassified,External Cause,External cause codes:  Machinery
Unclassified,External Cause,External cause codes:  Motor vehicle traffic (MVT)
Unclassified,External Cause,External cause codes:  Pedal cyclist; not MVT
Unclassified,External Cause,External cause codes:  Pedestrian; not MVT
Unclassified,External Cause,External cause codes:  Transport; not MVT
Unclassified,External Cause,External cause codes:  Natural/environment
Unclassified,External Cause,External cause codes:  Overexertion
Unclassified,External Cause,External cause codes:  Poisoning
Unclassified,External Cause,External cause codes:  Struck by; against
Unclassified,External Cause,External cause codes:  Suffocation
Unclassified,Adverse Effects,Adverse effects of medical care
Unclassified,Adverse Effects,Adverse effects of medical drugs
Unclassified,External Cause,External cause codes:  Other specified and classifiable
Unclassified,External Cause,External cause codes:  Other specified; NEC
Unclassified,External Cause,External cause codes:  Unspecified
Unclassified,External Cause,External cause codes:  Place of occurrence
Unclassified,Residual Codes,Residual codes; unclassified
