source,target
Endocrine; nutritional; and metabolic diseases and immunity disorders,Immunity disorders [57.]
Endocrine; nutritional; and metabolic diseases and immunity disorders,Other nutritional; endocrine; and metabolic disorders [58.]
Diseases of the blood and blood-forming organs,Anemia
Diseases of the blood and blood-forming organs,Coagulation and hemorrhagic disorders [62.]
Diseases of the blood and blood-forming organs,Diseases of white blood cells [63.]
Diseases of the blood and blood-forming organs,Other hematologic conditions [64.]
Diseases of the nervous system and sense organs,Central nervous system infection
Diseases of the nervous system and sense organs,Hereditary and degenerative nervous system conditions
Diseases of the nervous system and sense organs,Paralysis [82.]
Diseases of the nervous system and sense organs,Epilepsy; convulsions [83.]
Diseases of the nervous system and sense organs,Headache; including migraine [84.]
Diseases of the nervous system and sense organs,Coma; stupor; and brain damage [85.]
Diseases of the nervous system and sense organs,Eye disorders
Diseases of the nervous system and sense organs,Ear conditions
Diseases of the nervous system and sense organs,Other nervous system disorders [95.]
Diseases of the circulatory system,Diseases of the heart
Diseases of the circulatory system,Hypertension
Diseases of the circulatory system,Cerebrovascular disease
Diseases of the circulatory system,Diseases of arteries; arterioles; and capillaries
Diseases of the circulatory system,Diseases of veins and lymphatics
Diseases of the respiratory system,Respiratory infections
Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis [127.]
Diseases of the respiratory system,Asthma [128.]
Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus [129.]
Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse [130.]
Diseases of the respiratory system,Respiratory failure; insufficiency; arrest (adult) [131.]
Diseases of the respiratory system,Lung disease due to external agents [132.]
Diseases of the respiratory system,Other lower respiratory disease [133.]
Diseases of the respiratory system,Other upper respiratory disease [134.]
Diseases of the digestive system,Intestinal infection [135.]
Diseases of the digestive system,Disorders of teeth and jaw [136.]
Diseases of the digestive system,Diseases of mouth; excluding dental [137.]
Diseases of the digestive system,Upper gastrointestinal disorders
Diseases of the digestive system,Lower gastrointestinal disorders
Diseases of the digestive system,Abdominal hernia [143.]
Diseases of the digestive system,Biliary tract disease [149.]
Diseases of the digestive system,Liver disease
Diseases of the digestive system,Pancreatic disorders (not diabetes) [152.]
Diseases of the digestive system,Gastrointestinal hemorrhage [153.]
Diseases of the digestive system,Noninfectious gastroenteritis [154.]
Diseases of the digestive system,Other gastrointestinal disorders [155.]
Diseases of the genitourinary system,Diseases of the urinary system
Diseases of the genitourinary system,Diseases of male genital organs
Diseases of the genitourinary system,Diseases of female genital organs
Complications of pregnancy; childbirth; and the puerperium,Contraceptive and procreative management [176.]
Complications of pregnancy; childbirth; and the puerperium,Abortion-related disorders
Complications of pregnancy; childbirth; and the puerperium,Complications mainly related to pregnancy
Complications of pregnancy; childbirth; and the puerperium,Indications for care in pregnancy; labor; and delivery
Complications of pregnancy; childbirth; and the puerperium,Complications during labor
Complications of pregnancy; childbirth; and the puerperium,Other complications of birth; puerperium affecting management of mother [195.]
Complications of pregnancy; childbirth; and the puerperium,Normal pregnancy and/or delivery [196.]
Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections [197.]
Diseases of the skin and subcutaneous tissue,Other inflammatory condition of skin [198.]
Diseases of the skin and subcutaneous tissue,Chronic ulcer of skin [199.]
Diseases of the skin and subcutaneous tissue,Other skin disorders [200.]
Diseases of the musculoskeletal system and connective tissue,Infective arthritis and osteomyelitis (except that caused by TB or STD) [201.]
Diseases of the musculoskeletal system and connective tissue,Non-traumatic joint disorders
Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems [205.]
Diseases of the musculoskeletal system and connective tissue,Osteoporosis [206.]
Diseases of the musculoskeletal system and connective tissue,Pathological fracture [207.]
Diseases of the musculoskeletal system and connective tissue,Acquired deformities
Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus and connective tissue disorders [210.]
Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease [211.]
Diseases of the musculoskeletal system and connective tissue,Other bone disease and musculoskeletal deformities [212.]
Congenital anomalies,Cardiac and circulatory congenital anomalies [213.]
Congenital anomalies,Digestive congenital anomalies [214.]
Congenital anomalies,Genitourinary congenital anomalies [215.]
Congenital anomalies,Nervous system congenital anomalies [216.]
Congenital anomalies,Other congenital anomalies [217.]
Certain conditions originating in the perinatal period,Liveborn [218.]
Certain conditions originating in the perinatal period,Short gestation; low birth weight; and fetal growth retardation [219.]
Certain conditions originating in the perinatal period,Intrauterine hypoxia and birth asphyxia [220.]
Certain conditions originating in the perinatal period,Respiratory distress syndrome [221.]
Certain conditions originating in the perinatal period,Hemolytic jaundice and perinatal jaundice [222.]
Certain conditions originating in the perinatal period,Birth trauma [223.]
Certain conditions originating in the perinatal period,Other perinatal conditions [224.]
Injury and poisoning,Joint disorders and dislocations; trauma-related [225.]
Injury and poisoning,Fractures
Injury and poisoning,Spinal cord injury [227.]
Injury and poisoning,Sprains and strains [232.]
Injury and poisoning,Intracranial injury [233.]
Injury and poisoning,Crushing injury or internal injury [234.]
Injury and poisoning,Open wounds
Injury and poisoning,Complications
Injury and poisoning,Superficial injury; contusion [239.]
Injury and poisoning,Burns [240.]
Injury and poisoning,Poisoning
Injury and poisoning,Other injuries and conditions due to external causes [244.]
Symptoms; signs; and ill-defined conditions and factors influencing health status,Symptoms; signs; and ill-defined conditions
Symptoms; signs; and ill-defined conditions and factors influencing health status,Factors influencing health care
Mental Illness,Adjustment disorders [650]
Mental Illness,Anxiety disorders [651]
Mental Illness,Attention deficit conduct and disruptive behavior disorders [652]
Mental Illness,Delirium dementia and amnestic and other cognitive disorders [653]
Mental Illness,Developmental disorders [654]
Mental Illness,Disorders usually diagnosed in infancy childhood or adolescence [655]
Mental Illness,Impulse control disorders not elsewhere classified [656]
Mental Illness,Mood disorders [657]
Mental Illness,Personality disorders [658]
Mental Illness,Schizophrenia and other psychotic disorders [659]
Mental Illness,Alcohol-related disorders [660]
Mental Illness,Substance-related disorders [661]
Mental Illness,Suicide and intentional self-inflicted injury [662]
Mental Illness,Screening and history of mental health and substance abuse codes [663]
Mental Illness,Miscellaneous mental disorders [670]
Unclassified,External Cause
Unclassified,Adverse Effects
Unclassified,Residual Codes
Bacterial infection,Tuberculosis
Bacterial infection,Septicemia (except in labor)
Bacterial infection,Bacterial infection; unspecified site
Mycoses [4.],Mycoses
Viral infection,HIV infection
Viral infection,Hepatitis
Viral infection,Viral infection
Other infections; including parasitic [8.],Other infections; including parasitic
Bacterial infection,Sexually transmitted infections (not HIV or hepatitis)
Immunizations and screening for infectious disease [10.],Immunizations and screening for infectious disease
Cancer; other primary,Cancer of head and neck
Other gastrointestinal cancer,Cancer of esophagus
Other gastrointestinal cancer,Cancer of stomach
Colorectal cancer,Cancer of colon
Colorectal cancer,Cancer of rectum and anus
Other gastrointestinal cancer,Cancer of liver and intrahepatic bile duct
Other gastrointestinal cancer,Cancer of pancreas
Other gastrointestinal cancer,Cancer of other GI organs; peritoneum
Cancer of bronchus; lung [19.],Cancer of bronchus; lung
Cancer; other primary,Cancer; other respiratory and intrathoracic
Cancer; other primary,Cancer of bone and connective tissue
Cancer of skin,Melanomas of skin
Cancer of skin,Other non-epithelial cancer of skin
Cancer of breast [24.],Cancer of breast
Cancer of uterus and cervix,Cancer of uterus
Cancer of uterus and cervix,Cancer of cervix
Cancer of ovary and other female genital organs,Cancer of ovary
Cancer of ovary and other female genital organs,Cancer of other female genital organs
Cancer of male genital organs,Cancer of prostate
Cancer of male genital organs,Cancer of testis
Cancer of male genital organs,Cancer of other male genital organs
Cancer of urinary organs,Cancer of bladder
Cancer of urinary organs,Cancer of kidney and renal pelvis
Cancer of urinary organs,Cancer of other urinary organs
Cancer; other primary,Cancer of brain and nervous system
Cancer; other primary,Cancer of thyroid
Cancer of lymphatic and hematopoietic tissue,Hodgkin`s disease
Cancer of lymphatic and hematopoietic tissue,Non-Hodgkin`s lymphoma
Cancer of lymphatic and hematopoietic tissue,Leukemias
Cancer of lymphatic and hematopoietic tissue,Multiple myeloma
Cancer; other primary,Cancer; other and unspecified primary
Secondary malignancies [42.],Secondary malignancies
Malignant neoplasm without specification of site [43.],Malignant neoplasm without specification of site
Neoplasms of unspecified nature or uncertain behavior [44.],Neoplasms of unspecified nature or uncertain behavior
Maintenance chemotherapy; radiotherapy [45.],Maintenance chemotherapy; radiotherapy
Benign neoplasms,Benign neoplasm of uterus
Benign neoplasms,Other and unspecified benign neoplasm
Thyroid disorders [48.],Thyroid disorders
Diabetes mellitus without complication [49.],Diabetes mellitus without complication
Diabetes mellitus with complications [50.],Diabetes mellitus with complications
Other endocrine disorders [51.],Other endocrine disorders
Nutritional deficiencies [52.],Nutritional deficiencies
Disorders of lipid metabolism [53.],Disorders of lipid metabolism
Gout and other crystal arthropathies [54.],Gout and other crystal arthropathies
Fluid and electrolyte disorders [55.],Fluid and electrolyte disorders
Cystic fibrosis [56.],Cystic fibrosis
Immunity disorders [57.],Immunity disorders
Other nutritional; endocrine; and metabolic disorders [58.],Other nutritional; endocrine; and metabolic disorders
Anemia,Deficiency and other anemia
Anemia,Acute posthemorrhagic anemia
Anemia,Sickle cell anemia
Coagulation and hemorrhagic disorders [62.],Coagulation and hemorrhagic disorders
Diseases of white blood cells [63.],Diseases of white blood cells
Other hematologic conditions [64.],Other hematologic conditions
Central nervous system infection,Meningitis (except that caused by tuberculosis or sexually transmitted disease)
Central nervous system infection,Encephalitis (except that caused by tuberculosis or sexually transmitted disease)
Central nervous system infection,Other CNS infection and poliomyelitis
Hereditary and degenerative nervous system conditions,Parkinson`s disease
Hereditary and degenerative nervous system conditions,Multiple sclerosis
Hereditary and degenerative nervous system conditions,Other hereditary and degenerative nervous system conditions
Paralysis [82.],Paralysis
Epilepsy; convulsions [83.],Epilepsy; convulsions
Headache; including migraine [84.],Headache; including migraine
Coma; stupor; and brain damage [85.],Coma; stupor; and brain damage
Eye disorders,Cataract
Eye disorders,Retinal detachments; defects; vascular occlusion; and retinopathy
Eye disorders,Glaucoma
Eye disorders,Blindness and vision defects
Eye disorders,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)
Eye disorders,Other eye disorders
Ear conditions,Otitis media and related conditions
Ear conditions,Conditions associated with dizziness or vertigo
Ear conditions,Other ear and sense organ disorders
Other nervous system disorders [95.],Other nervous system disorders
Diseases of the heart,Heart valve disorders
Diseases of the heart,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)
Hypertension,Essential hypertension
Hypertension,Hypertension with complications and secondary hypertension
Diseases of the heart,Acute myocardial infarction
Diseases of the heart,Coronary atherosclerosis and other heart disease
Diseases of the heart,Nonspecific chest pain
Diseases of the heart,Pulmonary heart disease
Diseases of the heart,Other and ill-defined heart disease
Diseases of the heart,Conduction disorders
Diseases of the heart,Cardiac dysrhythmias
Diseases of the heart,Cardiac arrest and ventricular fibrillation
Diseases of the heart,Congestive heart failure; nonhypertensive
Cerebrovascular disease,Acute cerebrovascular disease
Cerebrovascular disease,Occlusion or stenosis of precerebral arteries
Cerebrovascular disease,Other and ill-defined cerebrovascular disease
Cerebrovascular disease,Transient cerebral ischemia
Cerebrovascular disease,Late effects of cerebrovascular disease
Diseases of arteries; arterioles; and capillaries,Peripheral and visceral atherosclerosis
Diseases of arteries; arterioles; and capillaries,Aortic; peripheral; and visceral artery aneurysms
Diseases of arteries; arterioles; and capillaries,Aortic and peripheral arterial embolism or thrombosis
Diseases of arteries; arterioles; and capillaries,Other circulatory disease
Diseases of veins and lymphatics,Phlebitis; thrombophlebitis and thromboembolism
Diseases of veins and lymphatics,Varicose veins of lower extremity
Diseases of veins and lymphatics,Hemorrhoids
Diseases of veins and lymphatics,Other diseases of veins and lymphatics
Respiratory infections,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
Respiratory infections,Influenza
Respiratory infections,Acute and chronic tonsillitis
Respiratory infections,Acute bronchitis
Respiratory infections,Other upper respiratory infections
Chronic obstructive pulmonary disease and bronchiectasis [127.],Chronic obstructive pulmonary disease and bronchiectasis
Asthma [128.],Asthma
Aspiration pneumonitis; food/vomitus [129.],Aspiration pneumonitis; food/vomitus
Pleurisy; pneumothorax; pulmonary collapse [130.],Pleurisy; pneumothorax; pulmonary collapse
Respiratory failure; insufficiency; arrest (adult) [131.],Respiratory failure; insufficiency; arrest (adult)
Lung disease due to external agents [132.],Lung disease due to external agents
Other lower respiratory disease [133.],Other lower respiratory disease
Other upper respiratory disease [134.],Other upper respiratory disease
Intestinal infection [135.],Intestinal infection
Disorders of teeth and jaw [136.],Disorders of teeth and jaw
Diseases of mouth; excluding dental [137.],Diseases of mouth; excluding dental
Upper gastrointestinal disorders,Esophageal disorders
Upper gastrointestinal disorders,Gastroduodenal ulcer (except hemorrhage)
Upper gastrointestinal disorders,Gastritis and duodenitis
Upper gastrointestinal disorders,Other disorders of stomach and duodenum
Lower gastrointestinal disorders,Appendicitis and other appendiceal conditions
Abdominal hernia [143.],Abdominal hernia
Lower gastrointestinal disorders,Regional enteritis and ulcerative colitis
Lower gastrointestinal disorders,Intestinal obstruction without hernia
Lower gastrointestinal disorders,Diverticulosis and diverticulitis
Lower gastrointestinal disorders,Anal and rectal conditions
Lower gastrointestinal disorders,Peritonitis and intestinal abscess
Biliary tract disease [149.],Biliary tract disease
Liver disease,Other liver diseases
Pancreatic disorders (not diabetes) [152.],Pancreatic disorders (not diabetes)
Gastrointestinal hemorrhage [153.],Gastrointestinal hemorrhage
Noninfectious gastroenteritis [154.],Noninfectious gastroenteritis
Other gastrointestinal disorders [155.],Other gastrointestinal disorders
Diseases of the urinary system,Nephritis; nephrosis; renal sclerosis
Diseases of the urinary system,Acute and unspecified renal failure
Diseases of the urinary system,Chronic kidney disease
Diseases of the urinary system,Urinary tract infections
Diseases of the urinary system,Calculus of urinary tract
Diseases of the urinary system,Other diseases of kidney and ureters
Diseases of the urinary system,Other diseases of bladder and urethra
Diseases of the urinary system,Genitourinary symptoms and ill-defined conditions
Diseases of male genital organs,Hyperplasia of prostate
Diseases of male genital organs,Inflammatory conditions of male genital organs
Diseases of male genital organs,Other male genital disorders
Diseases of female genital organs,Nonmalignant breast conditions
Diseases of female genital organs,Inflammatory diseases of female pelvic organs
Diseases of female genital organs,Endometriosis
Diseases of female genital organs,Prolapse of female genital organs
Diseases of female genital organs,Menstrual disorders
Diseases of female genital organs,Ovarian cyst
Diseases of female genital organs,Menopausal disorders
Diseases of female genital organs,Female infertility
Diseases of female genital organs,Other female genital disorders
Contraceptive and procreative management [176.],Contraceptive and procreative management
Abortion-related disorders,Spontaneous abortion
Abortion-related disorders,Induced abortion
Abortion-related disorders,Postabortion complications
Complications mainly related to pregnancy,Ectopic pregnancy
Complications mainly related to pregnancy,Other complications of pregnancy
Complications mainly related to pregnancy,Hemorrhage during pregnancy; abruptio placenta; placenta previa
Complications mainly related to pregnancy,Hypertension complicating pregnancy; childbirth and the puerperium
Complications mainly related to pregnancy,Early or threatened labor
Complications mainly related to pregnancy,Prolonged pregnancy
Complications mainly related to pregnancy,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium
Indications for care in pregnancy; labor; and delivery,Malposition; malpresentation
Indications for care in pregnancy; labor; and delivery,Fetopelvic disproportion; obstruction
Indications for care in pregnancy; labor; and delivery,Previous C-section
Indications for care in pregnancy; labor; and delivery,Fetal distress and abnormal forces of labor
Indications for care in pregnancy; labor; and delivery,Polyhydramnios and other problems of amniotic cavity
Complications during labor,Umbilical cord complication
Complications during labor,OB-related trauma to perineum and vulva
Complications during labor,Forceps delivery
Other complications of birth; puerperium affecting management of mother [195.],Other complications of birth; puerperium affecting management of mother
Normal pregnancy and/or delivery [196.],Normal pregnancy and/or delivery
Skin and subcutaneous tissue infections [197.],Skin and subcutaneous tissue infections
Other inflammatory condition of skin [198.],Other inflammatory condition of skin
Chronic ulcer of skin [199.],Chronic ulcer of skin
Other skin disorders [200.],Other skin disorders
Infective arthritis and osteomyelitis (except that caused by TB or STD) [201.],Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
Non-traumatic joint disorders,Rheumatoid arthritis and related disease
Non-traumatic joint disorders,Osteoarthritis
Non-traumatic joint disorders,Other non-traumatic joint disorders
Spondylosis; intervertebral disc disorders; other back problems [205.],Spondylosis; intervertebral disc disorders; other back problems
Osteoporosis [206.],Osteoporosis
Pathological fracture [207.],Pathological fracture
Acquired deformities,Acquired foot deformities
Acquired deformities,Other acquired deformities
Systemic lupus erythematosus and connective tissue disorders [210.],Systemic lupus erythematosus and connective tissue disorders
Other connective tissue disease [211.],Other connective tissue disease
Other bone disease and musculoskeletal deformities [212.],Other bone disease and musculoskeletal deformities
Cardiac and circulatory congenital anomalies [213.],Cardiac and circulatory congenital anomalies
Digestive congenital anomalies [214.],Digestive congenital anomalies
Genitourinary congenital anomalies [215.],Genitourinary congenital anomalies
Nervous system congenital anomalies [216.],Nervous system congenital anomalies
Other congenital anomalies [217.],Other congenital anomalies
Liveborn [218.],Liveborn
Short gestation; low birth weight; and fetal growth retardation [219.],Short gestation; low birth weight; and fetal growth retardation
Intrauterine hypoxia and birth asphyxia [220.],Intrauterine hypoxia and birth asphyxia
Respiratory distress syndrome [221.],Respiratory distress syndrome
Hemolytic jaundice and perinatal jaundice [222.],Hemolytic jaundice and perinatal jaundice
Birth trauma [223.],Birth trauma
Other perinatal conditions [224.],Other perinatal conditions
Joint disorders and dislocations; trauma-related [225.],Joint disorders and dislocations; trauma-related
Fractures,Fracture of neck of femur (hip)
Spinal cord injury [227.],Spinal cord injury
Fractures,Skull and face fractures
Fractures,Fracture of upper limb
Fractures,Fracture of lower limb
Fractures,Other fractures
Sprains and strains [232.],Sprains and strains
Intracranial injury [233.],Intracranial injury
Crushing injury or internal injury [234.],Crushing injury or internal injury
Open wounds,Open wounds of head; neck; and trunk
Open wounds,Open wounds of extremities
Complications,Complication of device; implant or graft
Complications,Complications of surgical procedures or medical care
Superficial injury; contusion [239.],Superficial injury; contusion
Burns [240.],Burns
Poisoning,Poisoning by psychotropic agents
Poisoning,Poisoning by other medications and drugs
Poisoning,Poisoning by nonmedicinal substances
Other injuries and conditions due to external causes [244.],Other injuries and conditions due to external causes
Symptoms; signs; and ill-defined conditions,Syncope
Symptoms; signs; and ill-defined conditions,Fever of unknown origin
Symptoms; signs; and ill-defined conditions,Lymphadenitis
Symptoms; signs; and ill-defined conditions,Gangrene
Symptoms; signs; and ill-defined conditions,Shock
Symptoms; signs; and ill-defined conditions,Nausea and vomiting
Symptoms; signs; and ill-defined conditions,Abdominal pain
Symptoms; signs; and ill-defined conditions,Malaise and fatigue
Symptoms; signs; and ill-defined conditions,Allergic reactions
Factors influencing health care,Rehabilitation care; fitting of prostheses; and adjustment of devices
Factors influencing health care,Administrative/social admission
Factors influencing health care,Medical examination/evaluation
Factors influencing health care,Other aftercare
Factors influencing health care,Other screening for suspected conditions (not mental disorders or infectious disease)
Adjustment disorders [650],Adjustment disorders
Anxiety disorders [651],Anxiety disorders
Attention deficit conduct and disruptive behavior disorders [652],Attention-deficit conduct and disruptive behavior disorders
Delirium dementia and amnestic and other cognitive disorders [653],Delirium dementia and amnestic and other cognitive disorders
Developmental disorders [654],Developmental disorders
Disorders usually diagnosed in infancy childhood or adolescence [655],Disorders usually diagnosed in infancy childhood or adolescence
Impulse control disorders not elsewhere classified [656],Impulse control disorders NEC
Mood disorders [657],Mood disorders
Personality disorders [658],Personality disorders
Schizophrenia and other psychotic disorders [659],Schizophrenia and other psychotic disorders
Alcohol-related disorders [660],Alcohol-related disorders
Substance-related disorders [661],Substance-related disorders
Suicide and intentional self-inflicted injury [662],Suicide and intentional self-inflicted injury
Screening and history of mental health and substance abuse codes [663],Screening and history of mental health and substance abuse codes
Miscellaneous mental disorders [670],Miscellaneous disorders
External Cause,External cause codes:  Cut/pierce
External Cause,External cause codes:  Drowning/submersion
External Cause,External cause codes:  Fall
External Cause,External cause codes:  Fire/burn
External Cause,External cause codes:  Firearm
External Cause,External cause codes:  Machinery
External Cause,External cause codes:  Motor vehicle traffic (MVT)
External Cause,External cause codes:  Pedal cyclist; not MVT
External Cause,External cause codes:  Pedestrian; not MVT
External Cause,External cause codes:  Transport; not MVT
External Cause,External cause codes:  Natural/environment
External Cause,External cause codes:  Overexertion
External Cause,External cause codes:  Poisoning
External Cause,External cause codes:  Struck by; against
External Cause,External cause codes:  Suffocation
Adverse Effects,Adverse effects of medical care
Adverse Effects,Adverse effects of medical drugs
External Cause,External cause codes:  Other specified and classifiable
External Cause,External cause codes:  Other specified; NEC
External Cause,External cause codes:  Unspecified
External Cause,External cause codes:  Place of occurrence
Residual Codes,Residual codes; unclassified
